PERIODO;ETAPA;CURSO;TURNO;Nº EXP;NOTA1;NOTA2;NOTA3;NOTA4;NOTA5;NOTA6;MEDIA;APROBADO;FALTAS ACUMULADAS;SEXO;EDAD;LOCALIDAD;Nacionalidad
2012-2013;INFORMATICA;SMR1;DIURNO;A1-01-SMR-2012;7,0;7,0;6,0;8,0;6,0;6,0;6,7;SI;0;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-02-SMR-2012;6,0;6,0;5,0;6,0;6,0;6,0;5,8;SI;6;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-03-SMR-2012;6,0;7,0;6,0;5,0;5,0;5,0;5,7;SI;10;H;18;ARROYOMOLINOS;ESPAÑOLA
2012-2013;INFORMATICA;SMR2;DIURNO;A1-04-SMR-2012;8,0;9,0;7,0;5,0;8,0;8,0;7,5;SI;14;H;21;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-05-SMR-2012;5,0;5,0;5,0;5,0;5,0;5,0;5,0;SI;0;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-06-SMR-2012;9,0;7,0;7,0;7,0;7,0;7,0;7,3;SI;15;H;16;FUENLABRADA;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-07-SMR-2012;9,0;9,0;9,0;9,0;9,0;9,0;9,0;SI;3;H;16;MOSTOLES;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-08-SMR-2012;5,0;6,0;5,0;4,0;5,0;5,0;5,0;SI;3;H;17;NAVALCARNERO;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-09-SMR-2012;0,0;0,0;0,0;0,0;0,0;0,0;0,0;NO;248;H;21;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-10-SMR-2012;9,0;9,0;8,0;8,0;9,0;9,0;8,7;SI;12;H;18;TORRELODONES;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-11-SMR-2012;6,0;6,0;7,0;7,0;6,0;6,0;6,3;SI;23;H;24;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-12-SMR-2012;7,0;6,0;6,0;6,0;7,0;7,0;6,5;SI;3;H;17;PARLA;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-13-SMR-2012;7,0;7,0;8,0;7,0;7,0;7,0;7,2;SI;2;H;16;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-14-SMR-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;28;H;16;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-15-SMR-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;8;H;19;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-16-SMR-2012;8,0;9,0;6,0;6,0;7,0;7,0;7,2;SI;14;H;22;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-18-SMR-2012;6,0;6,0;7,0;7,0;6,0;6,0;6,3;SI;2;H;28;SAN SEBASTIAN DE LOS REYES;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-19-SMR-2012;7,0;6,0;6,0;6,0;7,0;7,0;6,5;SI;5;H;18;MADRID;PERUANA
